time_s,Bx_T,By_T,Bz_T,magnitude_T
3.200000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.220000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.240000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.260000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.280000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.300000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.320000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.340000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.360000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.380000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.400000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.420000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.440000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.460000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.480000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.500000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.520000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.540000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.560000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.580000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.600000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.620000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.640000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.660000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.680000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.700000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.720000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.740000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.760000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.780000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.800000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.820000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.840000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.860000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.880000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.900000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.920000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.940000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.960000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
3.980000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
4.000000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
